Block,Date,Aggregated Category,Line Item,Value
UK,9/2/2019,Prior Day's Nightly Base OV,Prior Day's Nightly Base OV,138012741
UK,9/2/2019,BOP Hedge Target Value,PA BOP Run,177697.6029
UK,9/2/2019,Equity Delta,EuroStoxx,0
UK,9/2/2019,Equity Delta,S&P 500,0
UK,9/2/2019,Equity Delta,NKY INDEX,0
UK,9/2/2019,Equity Delta,FTSE 100,-231.9500791
UK,9/2/2019,Equity Delta,SMI INDEX,0
UK,9/2/2019,Equity Delta,Topix Index,0
UK,9/2/2019,Capped Volatility Delta,CVF Funds,-28447.71391
UK,9/2/2019,Bond Delta,Domestic Bonds,0.002921129
UK,9/2/2019,Bond Delta,Foreign Bonds,0
UK,9/2/2019,FX Delta,FX Delta,0
UK,9/2/2019,Equity and CVF Gamma: Assumed - Theoretical,Equity and CVF Gamma: Assumed,33.95203531
UK,9/2/2019,Other Gamma: Assumed,Other Gamma: Assumed,-1.04526E-06
UK,9/2/2019,Total Equity: Realized - Assumed ,Total Equity: Realized - Assumed ,106.9271625
UK,9/2/2019,Total Equity,Total Equity,-28538.78187
UK,9/2/2019,Spot Rho: Assumed,Spot Rho: Assumed,4950704.471
UK,9/2/2019,Rho: Assumed,Rho: Assumed,5103344.401
UK,9/2/2019,Rho Basis,Rho Basis,152639.93
UK,9/2/2019,Rates Convexity: Assumed ,Rates Convexity: Assumed ,59114.16622
UK,9/2/2019,Rates: Realized - Assumed (Key Rates Higher Order),Rates: Realized - Assumed (Key Rates Higher Order),-5897.89466
UK,9/2/2019,Rates: Realized - Assumed (Remainder),Rates: Realized - Assumed (Remainder),-58255.33376
UK,9/2/2019,Total Interest rates ,Total Interest rates ,5098305.338
UK,9/2/2019,Equity/Rate Cross Gamma: Assumed,Equity/Rate Cross Gamma: Assumed,-122.2723165
UK,9/2/2019,Equity/Rate Cross Gamma: Realized - Assumed,Equity/Rate Cross Gamma: Realized - Assumed,21.25021745
UK,9/2/2019,Time,Time,-18672.77066
UK,9/2/2019,Other Cross Effects,Other Cross Effects,-2540.662263
UK,9/2/2019,CVF Basis Mismatch: Assumed,CVF Basis Mismatch: Assumed,-21203.24903
